chrom,start,end
chr1,0,27480000
chr1,29480000,59578282
chr2,0,14240000
chr2,16240000,59640629
chr3,0,49710000
chr3,51710000,62628489
chr4,0,29430000
chr4,31430000,78093715
chr5,0,52280000
chr5,54280000,72500376
chr6,0,19110000
chr6,21110000,60270059
chr7,0,58530000
chr7,60530000,74282399
chr8,0,38140000
chr8,40140000,54304671
chr9,0,14730000
chr9,16730000,56459846
chr10,0,10980000
chr10,12980000,45420867
chr11,0,14120000
chr11,16120000,45484837
chr12,0,13430000
chr12,15430000,49182954
chr13,0,14490000
chr13,16490000,52186027
chr14,0,12920000
chr14,14920000,52660232
chr15,0,10460000
chr15,12460000,48040578
chr16,0,17260000
chr16,19260000,55266484
chr17,0,41900000
chr17,43900000,53461100
chr18,0,30540000
chr18,32540000,51023478
chr19,0,17100000
chr19,19100000,48449771
chr20,0,11820000
chr20,13820000,55201332
chr21,0,32460000
chr21,34460000,45934066
chr22,0,26940000
chr22,28940000,39133080
chr23,0,11620000
chr23,13620000,46223584
chr24,0,11410000
chr24,13410000,42172926
chr25,0,25200000
chr25,27200000,37502051
chrM,0,16596
